EmbeddingSimilarity,nll-test,
181,-0.08713111687386974,0.6235998,
186,-0.08122479421752639,0.62834424,
191,-0.08406460426722547,0.62864584,
196,-0.09435289714153698,0.63126343,
201,-0.061542279961015724,0.6345874,
206,-0.07611074835210602,0.6372388,
211,-0.1339317346974142,0.6374052,
216,-0.10192821367882683,0.6407811,
221,-0.09279707538178185,0.6425023,
226,-0.11010742736609304,0.6474826,
231,-0.11776043036151526,0.650484,
236,-0.12051270795827436,0.65239096,
241,-0.16813673210534577,0.6557752,
246,-0.12163367811219085,0.65850645,
251,-0.1261733002990868,0.6606372,
256,-0.12183898748998201,0.6629535,
261,-0.18918878083544347,0.66179883,
266,-0.1339598369344631,0.66447,
271,-0.14161102496163563,0.669068,
276,-0.1449164803337341,0.67149997,
281,-0.10259622898931933,0.6721076,
286,-0.1263449621778382,0.67210954,
291,-0.1003199208091095,0.67315173,
296,-0.120048009782517,0.66683203,
301,-0.11005074282055637,0.66301274,
306,-0.10457583283015127,0.6618587,
311,-0.15887337558973905,0.66368765,
316,-0.11580679819807334,0.6667259,
321,-0.1559249829709198,0.6710136,
326,-0.10513074094254478,0.67515373,
331,-0.11763490572029855,0.6792251,
336,-0.13614516096173976,0.6856599,
341,-0.1290475426700485,0.69013065,
346,-0.13008301233911584,0.6921712,
351,-0.1051947186796065,0.6935557,
356,-0.10944939851818687,0.697002,
361,-0.08077152308912469,0.70098114,
366,-0.06800867155680967,0.70624876,
371,-0.11355072192140662,0.71261525,
376,-0.08909036513053155,0.72031385,
381,-0.13605512302836065,0.7235725,
386,-0.126046929761257,0.72483456,
391,-0.13243095379893993,0.7242151,
396,-0.13375442421059278,0.72092515,
401,-0.11576049951573386,0.7157897,
406,-0.175030473755072,0.7095162,
411,-0.13210382076229601,0.7069266,
416,-0.14539445187027938,0.7026101,
421,-0.13302609027607545,0.699307,
426,-0.1688072829492925,0.6985389,
431,-0.17096411641495524,0.69923586,
436,-0.17051449967846005,0.69915515,
441,-0.1400920597621641,0.6981454,
446,-0.11703166845253764,0.6982867,
451,-0.16021307004496418,0.69803864,
456,-0.15787169613778582,0.6966823,
461,-0.1922370042945143,0.6958606,
466,-0.1728832136329987,0.6951869,
471,-0.1499699754358344,0.6966955,
476,-0.15220279269551015,0.70018375,
481,-0.19230451147727295,0.7019496,
486,-0.12874018194213166,0.70190835,
491,-0.1146084589856471,0.7012086,
496,-0.1267764849515291,0.7001182,
501,-0.0986320502374199,0.6980919,
506,-0.09130505064532696,0.69893,
511,-0.10418789920245325,0.7007403,
516,-0.11691799290859062,0.70245445,
521,-0.12439145529618978,0.7025868,
526,-0.12472831741166861,0.70596915,
531,-0.09950851342144747,0.70900834,
536,-0.07288085049437358,0.7106593,
541,-0.08861986198577175,0.71471953,
546,-0.09711592968739567,0.71841085,
551,-0.12340473708936182,0.72083825,
556,-0.07422231440135725,0.7241835,
561,-0.09302916521001978,0.7304087,
566,-0.07789591839129727,0.734517,
571,-0.0922607842009586,0.7371085,
576,-0.08414957287239784,0.7379038,
581,-0.07024055152189304,0.73774594,
586,-0.09093666985386517,0.7390155,
591,-0.05641923011743821,0.73987573,
596,-0.06995309639376779,0.74093807,
601,-0.09577519354392319,0.7422285,
606,-0.07087597292891917,0.7447884,
611,-0.09288744069296845,0.7491653,
616,-0.08387981685635282,0.75418,
621,-0.06493598548942026,0.7588592,
626,-0.07040661049783647,0.76174736,
631,-0.07509332288864563,0.7640073,
636,-0.07150643517652484,0.7675238,
641,-0.10880811170770757,0.7716565,
646,-0.09240830875268338,0.7744553,
651,-0.07929260104930466,0.77684176,
656,-0.07802065798687254,0.779287,
661,-0.08781173506419633,0.7795429,
