EmbeddingSimilarity,nll-test,
136,-0.13448048878496907,0.75781995,
141,-0.1651462360750713,0.76110995,
146,-0.1615088285539411,0.7654857,
151,-0.11518751425484623,0.7728008,
156,-0.09471491627919953,0.77378017,
161,-0.0874149303617035,0.7758388,
166,-0.1353351549398408,0.78003794,
171,-0.08914963899642593,0.7823874,
176,-0.09229948953794281,0.7822987,
181,-0.128986972838229,0.7832603,
186,-0.11352564111913897,0.78645575,
191,-0.10658036591464556,0.7886564,
196,-0.12541514431640155,0.7880194,
201,-0.09731539196992367,0.79189,
206,-0.1308526046506664,0.79336315,
211,-0.1255773122274454,0.796335,
216,-0.09892499421387205,0.7975773,
221,-0.12862113789531165,0.80360115,
226,-0.1255252252764244,0.8046139,
231,-0.11907367056831472,0.8082577,
236,-0.13286746211847134,0.81363535,
241,-0.1326267828413077,0.81895804,
246,-0.105959536764539,0.8255143,
251,-0.1314189369009602,0.8252421,
256,-0.12751995786768383,0.8318746,
261,-0.09805017708850257,0.83819056,
266,-0.14701442611547755,0.8376175,
271,-0.15950705916717514,0.8396142,
276,-0.191421742097063,0.84440565,
281,-0.16487348370949403,0.852214,
286,-0.20980327563431175,0.86193526,
291,-0.1815913351525836,0.8724933,
296,-0.20054324960042663,0.8774037,
301,-0.13538372969164006,0.8773675,
306,-0.1654344662300911,0.88103485,
311,-0.18252584814494818,0.8835254,
316,-0.1481888769517293,0.8886447,
321,-0.1658717025746503,0.89451563,
326,-0.16388108381642574,0.8949568,
331,-0.17670418573680027,0.898163,
336,-0.14273788746723318,0.8982451,
341,-0.17974259267466808,0.9015651,
346,-0.1448130436301331,0.9063727,
351,-0.20120983818132007,0.911495,
356,-0.12122406893611691,0.9163823,
361,-0.14560957234837896,0.9209158,
366,-0.10494016623104457,0.9302773,
371,-0.12976235394951816,0.93742746,
376,-0.1200763711801982,0.94661146,
381,-0.15891655659417142,0.9565156,
386,-0.13236769834051373,0.9614851,
391,-0.14676538077048845,0.96524006,
396,-0.1131461598003038,0.9656696,
401,-0.13279393343452509,0.9711212,
406,-0.14983498984858915,0.97344905,
411,-0.1259900637691745,0.9783006,
416,-0.12437958014467965,0.9807371,
421,-0.13421202796116463,0.98627806,
426,-0.11812278157816479,0.9947276,
431,-0.12461352355359642,1.0029277,
436,-0.1433865786889535,1.0087649,
441,-0.12489040156662436,1.0106527,
446,-0.12051228090021442,1.0178,
451,-0.124468987850457,1.0243739,
456,-0.11751649164841849,1.0264775,
461,-0.12597702041438333,1.0268995,
466,-0.12867140430649224,1.0297796,
471,-0.13737558265550942,1.0345911,
476,-0.10458143159166991,1.0352948,
481,-0.13428577951717618,1.0418991,
486,-0.1276206759854733,1.0430706,
491,-0.13626293786011093,1.0419799,
496,-0.15903025849383157,1.0422667,
501,-0.14262164899669055,1.0434502,
506,-0.1499932297284781,1.0449234,
511,-0.1274827045060436,1.0435021,
516,-0.11990232419215073,1.0469136,
521,-0.15130470462974113,1.0510536,
526,-0.13682862332309084,1.0542746,
531,-0.11854977864682219,1.058128,
536,-0.11697969831348817,1.0574253,
541,-0.12317252653984555,1.0575225,
546,-0.12495563184558904,1.0637629,
551,-0.1287728425125823,1.0636663,
556,-0.12145666064848848,1.0646094,
561,-0.13596827226089403,1.070549,
566,-0.16311498814245243,1.0697645,
571,-0.15549288362751898,1.0760742,
576,-0.12815797913236116,1.0806532,
581,-0.14269819103023765,1.0864295,
586,-0.13710573499359757,1.0942554,
591,-0.14807907002798526,1.1021935,
596,-0.140615915291116,1.1032162,
601,-0.13290468812511017,1.1085637,
606,-0.13969004401309,1.1124955,
611,-0.13976469610064926,1.1175679,
616,-0.11567778247873828,1.1231052,
621,-0.12560040253593407,1.1295898,
626,-0.132623217053813,1.1299019,
631,-0.112726168287806,1.1368847,
636,-0.13076652562368862,1.1461118,
641,-0.1298279536563964,1.1522754,
646,-0.127287341600739,1.1546612,
651,-0.13575612210910007,1.1554358,
656,-0.13386667486627823,1.1577101,
661,-0.1224765531207818,1.1608036,
666,-0.12152666792684119,1.1564864,
671,-0.11810224286485943,1.160031,
676,-0.1390533714577344,1.162951,
681,-0.10760275244728668,1.1620345,
686,-0.1278115853651981,1.1595834,
691,-0.1268453964566619,1.1559937,
696,-0.1296152749026924,1.1577096,
701,-0.12480939505809761,1.161915,
706,-0.12033155346267828,1.1630963,
